Trial Index,P-Value,Generator
48,0.4943017453716107,Pseudo
49,0.4944624069107477,Pseudo
50,0.4882908425210274,Pseudo
51,0.479750080307669,Pseudo
52,0.4740889962081849,Pseudo
53,0.4814206093763109,Pseudo
54,0.48180086779362274,Pseudo
55,0.4910544237080224,Pseudo
56,0.49125232543820546,Pseudo
57,0.492681578580862,Pseudo
58,0.4851649865855899,Pseudo
59,0.4831741074966454,Pseudo
60,0.4898150972618147,Pseudo
61,0.49804388599952737,Pseudo
62,0.5039478895120267,Pseudo
63,0.5023122825779618,Pseudo
64,0.5082501625871003,Pseudo
65,0.5081605362195453,Pseudo
66,0.5032583285600746,Pseudo
67,0.5105633531253676,Pseudo
68,0.5049357342344373,Pseudo
69,0.5059244952841208,Pseudo
70,0.5039496748047517,Pseudo
71,0.5040710770125113,Pseudo
72,0.4999891432801178,Pseudo
73,0.500020841645636,Pseudo
74,0.500051694721407,Pseudo
75,0.4958367069360597,Pseudo
76,0.49592109804505197,Pseudo
77,0.5007169314968717,Pseudo
78,0.5016464514489655,Pseudo
79,0.5003667338775017,Pseudo
80,0.5003910312657852,Pseudo
81,0.5004147360348422,Pseudo
82,0.5050877450364943,Pseudo
83,0.505178255616577,Pseudo
84,0.5109996878916762,Pseudo
85,0.5108989336409411,Pseudo
86,0.5116259459865887,Pseudo
87,0.5116380447113257,Pseudo
88,0.5156645397964454,Pseudo
89,0.5155164318245791,Pseudo
90,0.5118262800796387,Pseudo
91,0.5082163490248057,Pseudo
92,0.5135043452610981,Pseudo
93,0.5186798309391716,Pseudo
94,0.5185077782169536,Pseudo
95,0.5183393099264485,Pseudo
96,0.5233048840406087,Pseudo
97,0.5197988405609598,Pseudo
98,0.5163636262425159,Pseudo
99,0.5112728945031969,Pseudo
0,0.3261094577435504,True
1,0.414222140036006,True
2,0.2908718291661343,True
3,0.4681538716246007,True
4,0.552177993934075,True
5,0.5438707986664727,True
6,0.4918482021476924,True
7,0.4802758075957139,True
8,0.4468798982000803,True
9,0.4524253906129184,True
10,0.49038636485601594,True
11,0.48279325492900327,True
12,0.5125780897257716,True
13,0.5118464277688208,True
14,0.5112123207394635,True
15,0.510657477088776,True
16,0.5143922730078057,True
17,0.5137224146367311,True
18,0.5334356814017438,True
19,0.5170683930590456,True
20,0.5010038325817107,True
21,0.4863996866932243,True
22,0.5038725039314308,True
23,0.5038084338646404,True
24,0.48854640249610176,True
25,0.4766681802091367,True
26,0.47800234515559237,True
27,0.4926549215133202,True
28,0.48943471890016654,True
29,0.506453561570161,True
30,0.4909095269408706,True
31,0.4880457619030892,True
32,0.4795016453165647,True
33,0.47068432113181313,True
34,0.4826154686186748,True
35,0.4742015006857953,True
36,0.46271504528509294,True
37,0.4637576709967605,True
38,0.4665882180920303,True
39,0.4674818831979411,True
40,0.46046312075494283,True
41,0.4524106095381865,True
42,0.4535716377426115,True
43,0.45467989193774444,True
44,0.4491556702179675,True
45,0.4473416826316839,True
46,0.448511749433743,True
47,0.4511291923145459,True
48,0.460050524781024,True
49,0.46089621073197273,True
50,0.4542562389460748,True
51,0.45518082708804375,True
52,0.45607052511144786,True
53,0.45825716367812996,True
54,0.46607566039619985,True
55,0.47361492508862435,True
56,0.4723106114156987,True
57,0.4672658185125834,True
58,0.47629521140220066,True
59,0.4717917897879603,True
60,0.4670036067264366,True
61,0.4735034857677359,True
62,0.46822182718412475,True
63,0.4637138708692949,True
64,0.47196442668669036,True
65,0.47242458419641414,True
66,0.46610783892273344,True
67,0.47395919421798743,True
68,0.4815829739974368,True
69,0.48739285269993016,True
70,0.4830593283384524,True
71,0.4833270435327581,True
72,0.4773801340440876,True
73,0.4728311997326843,True
74,0.47837044351187474,True
75,0.4747878049728735,True
76,0.46919538162811397,True
77,0.4654840642102536,True
78,0.4622005939613616,True
79,0.45866949432478216,True
80,0.46009516732956607,True
81,0.4666793725938397,True
82,0.4717588317574316,True
83,0.47224611511464604,True
84,0.4784549843368266,True
85,0.4734051729774029,True
86,0.47002939654128345,True
87,0.4760517897510416,True
88,0.4806835054074565,True
89,0.47896601598896865,True
90,0.4741880510597095,True
91,0.4799033983199301,True
92,0.47500753906984655,True
93,0.4794039959219968,True
94,0.4848839538491337,True
95,0.49024974598612187,True
96,0.4870483323474506,True
97,0.4839122536809971,True
98,0.4891252612094718,True
99,0.4942340085873771,True
0,0.5023348223284616,Quantum
1,0.3215469086643499,Quantum
2,0.38180954655238714,Quantum
3,0.3169215723270846,Quantum
4,0.42753647931906597,Quantum
5,0.4400028698206319,Quantum
6,0.44890743446460757,Quantum
7,0.4555858579475893,Quantum
8,0.4607801873232418,Quantum
9,0.5035296169081148,Quantum
10,0.5034209992190554,Quantum
11,0.4786434088297826,Quantum
12,0.45564873299941555,Quantum
13,0.45972315448256,Quantum
14,0.4957416107837227,Quantum
15,0.49615368650526886,Quantum
16,0.49651728273016255,Quantum
17,0.4713869452132864,Quantum
18,0.4730157808509271,Quantum
19,0.4583506229601313,Quantum
20,0.4604451086443375,Quantum
21,0.4576643785119524,Quantum
22,0.48124418809838926,Quantum
23,0.46868037288741515,Quantum
24,0.46590391980119317,Quantum
25,0.4673051083599343,Quantum
26,0.48289656668630604,Quantum
27,0.4700166053636229,Quantum
28,0.46000612321436035,Quantum
29,0.4515422495921411,Quantum
30,0.45318071968040946,Quantum
31,0.44463484166024075,Quantum
32,0.43333722693754073,Quantum
33,0.4258776797639369,Quantum
34,0.4188443924288247,Quantum
35,0.4349876037224685,Quantum
36,0.42808827992010473,Quantum
37,0.42155207842312864,Quantum
38,0.4153510667465103,Quantum
39,0.417525660636059,Quantum
40,0.42900733923449597,Quantum
41,0.43075323168911417,Quantum
42,0.4224057973663706,Quantum
43,0.4244577254663039,Quantum
44,0.4196051074458923,Quantum
45,0.4143900534369601,Quantum
46,0.416261218732524,Quantum
47,0.4113331229888258,Quantum
48,0.42334673270333956,Quantum
49,0.41847405050997305,Quantum
50,0.41379245389281694,Quantum
51,0.41549519174734856,Quantum
52,0.41380866846425807,Quantum
53,0.42225658399801236,Quantum
54,0.4237125519676569,Quantum
55,0.4193554103795739,Quantum
56,0.42954215754835334,Quantum
57,0.43203537910290385,Quantum
58,0.439768245273566,Quantum
59,0.4344764020131929,Quantum
60,0.44161606931276337,Quantum
61,0.4506222617270736,Quantum
62,0.45258300372683885,Quantum
63,0.4533603758924892,Quantum
64,0.454113828914581,Quantum
65,0.44995623488610276,Quantum
66,0.45816584330571314,Quantum
67,0.4540709430076146,Quantum
68,0.4547704195195109,Quantum
69,0.4625594135120894,Quantum
70,0.46311963053767213,Quantum
71,0.4705763023218711,Quantum
72,0.47101135054113946,Quantum
73,0.4714346407004276,Quantum
74,0.472804165593919,Quantum
75,0.47319272686674196,Quantum
76,0.4735711956389721,Quantum
77,0.4739399600837092,Quantum
78,0.4752084290410329,Quantum
79,0.47151473146595757,Quantum
80,0.4679122363001434,Quantum
81,0.4744011114550196,Quantum
82,0.47473766218843466,Quantum
83,0.47506619980914927,Quantum
84,0.47538700713290594,Quantum
85,0.4814871582011279,Quantum
86,0.4780184853831265,Quantum
87,0.482472776541125,Quantum
88,0.48269594559491535,Quantum
89,0.477879353431192,Quantum
90,0.47814809484764553,Quantum
91,0.4838203981536494,Quantum
92,0.48401947798348616,Quantum
93,0.48017094789484455,Quantum
94,0.4770082286857936,Quantum
95,0.4824560596265666,Quantum
96,0.48125251510720946,Quantum
97,0.4767925017635276,Quantum
98,0.47379169490768397,Quantum
99,0.47046136790860954,Quantum
