Trial Index,Z-Statistic,Generator
70,-0.06433486568721597,Pseudo
71,-0.05434891379283829,Pseudo
72,-0.07092483066739237,Pseudo
73,-0.07903152745904837,Pseudo
74,-0.08692204566959355,Pseudo
75,-0.06812516629894266,Pseudo
76,-0.07595237703856596,Pseudo
77,-0.07707687755957146,Pseudo
78,-0.08321453084298215,Pseudo
79,-0.07163775882715082,Pseudo
80,-0.0790350753015062,Pseudo
81,-0.0698904964167325,Pseudo
82,-0.06735581728234713,Pseudo
83,-0.05876046623484327,Pseudo
84,-0.05806916663208041,Pseudo
85,-0.049593706633452306,Pseudo
86,-0.055482876522136945,Pseudo
87,-0.047413143030885646,Pseudo
88,-0.048719325892077885,Pseudo
89,-0.04072444012383328,Pseudo
90,-0.05502022414994361,Pseudo
91,-0.039839126208097764,Pseudo
92,-0.03941074850693543,Pseudo
93,-0.03899148522494675,Pseudo
94,-0.045642315835736115,Pseudo
95,-0.038179162616093686,Pseudo
96,-0.037785563001494785,Pseudo
97,-0.02370978392495021,Pseudo
98,-0.03702221829439389,Pseudo
99,-0.009819180381452469,Pseudo
0,-0.9819805060619659,True
1,-0.15558005640601447,True
2,0.5671003556459272,True
3,0.42532526673444543,True
4,0.36835778773500716,True
5,0.1951614242375165,True
6,-0.02438174872496782,True
7,0.08403187366859374,True
8,0.22376619731651376,True
9,0.2684716169098561,True
10,0.22918661376559693,True
11,0.28033166515375757,True
12,0.24617819724369974,True
13,0.2765097826727167,True
14,0.21335443761120645,True
15,0.2419460598386271,True
16,0.19465796885111866,True
17,0.22111143687327525,True
18,0.21686809133980045,True
19,0.1428051444910461,True
20,0.07211724301528799,True
21,0.1298228586282237,True
22,0.13028655485035548,True
23,0.1528087981170047,True
24,0.2085111097567163,True
25,0.14888988297761668,True
26,0.16762187511577817,True
27,0.16665280356654516,True
28,0.18997261138919963,True
29,0.18364019100955964,True
30,0.25022618316396306,True
31,0.26874809089082435,True
32,0.22228933523851796,True
33,0.17629139048150644,True
34,0.17526843280309923,True
35,0.20766766485023186,True
36,0.1488974521699132,True
37,0.1626322664088612,True
38,0.14405319580994128,True
39,0.15722237574594117,True
40,0.18611062966676878,True
41,0.21847386679636466,True
42,0.19779260493482276,True
43,0.208543236487439,True
44,0.17581136799582286,True
45,0.19165316507707214,True
46,0.20184821248500542,True
47,0.18593571874679662,True
48,0.18500821166496925,True
49,0.1947244552966686,True
50,0.22120763439104363,True
51,0.2040532492441017,True
52,0.21286017648949482,True
53,0.19851181235174462,True
54,0.19745683161329933,True
55,0.19643952875836998,True
56,0.20778141826126745,True
57,0.22733071771365718,True
58,0.2234776547015613,True
59,0.19867984636261385,True
60,0.21741691095502794,True
61,0.2112704540416082,True
62,0.2312974430106771,True
63,0.20672028317457475,True
64,0.20353997112573513,True
65,0.21061997752155637,True
66,0.17812072107613677,True
67,0.17550129870737005,True
68,0.17295780162465454,True
69,0.172493945483406,True
70,0.15116810418786683,True
71,0.13975159727900846,True
72,0.11089431232557606,True
73,0.12930075079540543,True
74,0.1294499124079634,True
75,0.11110990243371012,True
76,0.08353105721054752,True
77,0.06525962331682415,True
78,0.04842860472249364,True
79,0.0645937569947109,True
80,0.05685863052626982,True
81,0.056165232593022626,True
82,0.057181168004398916,True
83,0.06429393589372723,True
84,0.06353753664791867,True
85,0.03939801668980553,True
86,0.05436632438877184,True
87,0.05374852524799034,True
88,0.05472312464674611,True
89,0.04320419541664932,True
90,0.06484438205767307,True
91,0.06413955181791575,True
92,0.08761983564563779,True
93,0.08818226156150606,True
94,0.08725402722927968,True
95,0.08634513111230802,True
96,0.09928632343589117,True
97,0.08458298557940377,True
98,0.08372861198769262,True
99,0.0828913258678157,True
0,-0.6708203932499369,Quantum
1,0.40107518292150574,Quantum
2,0.04377665753102485,Quantum
3,0.41917414042571743,Quantum
4,0.3026066288051751,Quantum
5,0.14036879179598974,Quantum
6,0.21614759200369646,Quantum
7,0.27298169215947654,Quantum
8,0.3171859922806388,Quantum
9,0.29951618022630033,Quantum
10,0.21130376445573332,Quantum
11,0.08832921361481498,Quantum
12,0.18473779614443492,Quantum
13,0.21830321575611647,Quantum
14,0.20374966803904204,Quantum
15,0.14908903920848085,Quantum
16,0.1008590725932798,Quantum
17,-0.016547608092447447,Quantum
18,0.019629655136099097,Quantum
19,0.08573021170428782,Quantum
20,0.04970399242075331,Quantum
21,0.08575959414815201,Quantum
22,0.08203091614171062,Quantum
23,0.13451466073996743,Quantum
24,0.16285116352730974,Quantum
25,0.18238844159356463,Quantum
26,0.18083656863592348,Quantum
27,0.22956978365284747,Quantum
28,0.175390108819995,Quantum
29,0.12739741033815227,Quantum
30,0.14492718398046792,Quantum
31,0.09847193490295722,Quantum
32,0.04093346431659678,Quantum
33,0.00026951576317117454,Quantum
34,-0.03807077858720154,Quantum
35,-0.03701325695977928,Quantum
36,-0.07227346046086291,Quantum
37,-0.03506519080400142,Quantum
38,0.00023496246020051113,Quantum
39,-0.016541421432552925,Quantum
40,-0.012711438672313728,Quantum
41,-0.02838069949559047,Quantum
42,-0.0695880691456218,Quantum
43,-0.053128029603494546,Quantum
44,-0.08004498107086772,Quantum
45,-0.1074709768410635,Quantum
46,-0.0909115859880635,Quantum
47,-0.11696844433205955,Quantum
48,-0.11458133322324202,Quantum
49,-0.13912252228877464,Quantum
50,-0.11008794760664428,Quantum
51,-0.0950704795132485,Quantum
52,-0.11180463095756392,Quantum
53,-0.1127649788597756,Quantum
54,-0.09851797209414447,Quantum
55,-0.07280085140496557,Quantum
56,-0.07152364348558021,Quantum
57,-0.07997929595908772,Quantum
58,-0.07624256430321752,Quantum
59,-0.049215745079667306,Quantum
60,-0.05109193643372185,Quantum
61,-0.05026787294285537,Quantum
62,-0.058389835069937286,Quantum
63,-0.04699592525243925,Quantum
64,-0.05659322476009306,Quantum
65,-0.07606364236221096,Quantum
66,-0.07492836411799886,Quantum
67,-0.054096464844206604,Quantum
68,-0.06303449279211573,Quantum
69,-0.06213400003794265,Quantum
70,-0.05181069872402885,Quantum
71,-0.05109110568619512,Quantum
72,-0.05958054798158884,Quantum
73,-0.04971026499197363,Quantum
74,-0.05654014795140087,Quantum
75,-0.04696961451454116,Quantum
76,-0.055071572679935905,Quantum
77,-0.04576526542442472,Quantum
78,-0.05229926822853347,Quantum
79,-0.03487501754442838,Quantum
80,-0.017880995272276497,Quantum
81,-0.017662934354321907,Quantum
82,-0.02553230132896787,Quantum
83,-0.03321430242326512,Quantum
84,-0.024931541297698038,Quantum
85,-0.02464163965470155,Quantum
86,-0.03977956088280697,Quantum
87,-0.041187331982740924,Quantum
88,-0.048261860761024025,Quantum
89,-0.0695792868005855,Quantum
90,-0.0614430265802501,Quantum
91,-0.06077516759568217,Quantum
92,-0.05290854866185831,Quantum
93,-0.035905621664287526,Quantum
94,-0.04965020234676738,Quantum
95,-0.04913301273898856,Quantum
96,-0.03930139370319186,Quantum
97,-0.05943567723427981,Quantum
98,-0.07238724399453834,Quantum
99,-0.05693366396366347,Quantum
